item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000001,Seed_Packets,26.5,26.9,26.1,4.4,74,N/A,15,Lab
000002,Cooling_System,49.9,25.6,17.3,11.05,8,N/A,4285,Power_Bay
000003,Navigation_Module,26.9,28.3,46.6,17.74,37,N/A,57,Cockpit
000004,Medical_Scanner,45.3,10.6,23.0,5.52,16,2025-11-02,9,Lab
000005,Radiation_Shield,39.9,41.0,43.6,35.66,24,N/A,664,Storage_Bay
000006,Research_Samples,17.3,28.8,15.4,6.4,46,N/A,3579,Lab
000007,Battery_Pack,41.2,45.0,22.9,21.23,91,N/A,420,Power_Bay
000008,First_Aid_Kit,22.9,11.8,17.1,7.7,18,N/A,61,Medical_Bay
000009,Emergency_Beacon,36.3,40.8,11.7,8.66,24,N/A,1164,Cockpit
000010,Protein_Bars,13.2,28.5,30.8,5.79,96,N/A,3839,Crew_Quarters
000011,Emergency_Oxygen_Mask,34.6,24.3,41.9,17.61,40,N/A,2874,Medical_Bay
000012,Emergency_Beacon,33.3,44.5,35.5,26.3,35,N/A,1864,Command_Center
000013,First_Aid_Kit,27.3,14.9,19.1,2.2,56,N/A,93,Crew_Quarters
000014,Medical_Scanner,40.9,13.7,23.9,6.7,13,2025-07-15,96,Medical_Bay
000015,Research_Samples,20.3,11.8,14.0,1.0,22,N/A,3258,Lab
000016,Research_Samples,17.3,26.4,29.1,7.9,93,N/A,3214,Lab
000017,Solar_Panel,63.1,48.9,2.9,8.3,81,N/A,4744,Power_Bay
000018,Communication_Device,20.1,28.5,29.3,8.39,52,N/A,966,Command_Center
000019,CO2_Scrubber,23.4,25.3,48.9,14.47,19,N/A,421,Life_Support
000020,Tool_Kit,15.5,17.0,16.6,5.8,24,N/A,77,Maintenance_Bay
000021,Circuit_Board,32.9,10.9,34.1,6.11,62,N/A,1776,Engineering_Bay
000022,Navigation_Module,38.4,42.1,34.0,27.48,74,N/A,31,Cockpit
000023,Tool_Kit,26.4,30.0,27.5,1.5,97,N/A,21,Storage_Bay
000024,Research_Samples,10.3,14.0,16.7,1.9,89,N/A,4619,Storage_Bay
000025,Navigation_Module,22.2,31.6,42.7,14.98,75,N/A,409,Cockpit
000026,Seed_Packets,10.8,26.1,18.1,2.2,98,N/A,54,Greenhouse
000027,Fire_Extinguisher,16.3,20.1,37.7,6.18,63,N/A,1258,Engineering_Bay
000028,Tether_Reel,11.9,30.3,30.3,5.46,14,N/A,2532,External_Storage
000029,Seed_Packets,15.2,25.9,11.9,6.5,61,N/A,22,Lab
000030,Asteroid_Sample_Container,26.3,29.3,22.2,1.5,20,N/A,2651,Lab
000031,3D_Printer,21.8,24.1,31.8,8.35,49,N/A,3600,Lab
000032,Gyroscope_Module,37.5,15.8,12.0,3.56,44,N/A,4793,Engineering_Bay
000033,First_Aid_Kit,12.9,30.0,18.9,6.3,93,N/A,66,Medical_Bay
000034,Helmet_Visor,43.0,11.4,26.2,6.42,22,N/A,229,Storage_Bay
000035,CO2_Scrubber,19.0,29.2,24.1,6.69,81,N/A,387,Life_Support
000036,Tether_Reel,28.7,12.8,46.0,8.45,19,N/A,4435,External_Storage
000037,Pressure_Regulator,14.6,42.3,28.8,8.89,56,N/A,1540,Airlock
000038,Gyroscope_Module,32.5,26.5,10.2,4.39,29,N/A,4562,Cockpit
000039,Microgravity_Lab_Kit,18.6,28.6,26.9,1.1,1,N/A,70,Crew_Quarters
000040,Waste_Management_Kit,12.5,22.3,24.4,3.2,30,N/A,75,Engineering_Bay
000041,Food_Packet,28.8,21.0,10.1,7.1,29,2026-07-20,23,Crew_Quarters
